feature,f_score,p_value
tqwt_energy_dec_26,27.082421141601575,2.679388672087146e-07
tqwt_kurtosisValue_dec_25,27.0701651888966,2.6956916098866667e-07
std_MFCC_4th_coef,26.988218546309042,2.8072908624201454e-07
apq11Shimmer,26.986436668397378,2.8097684476977884e-07
tqwt_TKEO_std_dec_9,26.961624929937614,2.844496909732236e-07
tqwt_entropy_shannon_dec_18,26.922544985355383,2.900073759996463e-07
tqwt_entropy_log_dec_33,26.74334909689478,3.1692330871263824e-07
mean_Log_energy,26.564792763854985,3.462428875471889e-07
tqwt_entropy_log_dec_23,26.43432916981034,3.6937691111761233e-07
tqwt_stdValue_dec_35,26.33749873256736,3.875466999849207e-07
gender,26.26723419056499,4.0129192844116316e-07
det_LT_entropy_log_3_coef,26.146241936466552,4.2611969245632005e-07
app_TKEO_std_1_coef,25.157338318997624,6.965579596251061e-07
GNE_mean,24.965547842923126,7.663382972410861e-07
tqwt_TKEO_mean_dec_10,24.960665144907487,7.682037585818259e-07
std_MFCC_9th_coef,24.71999569044288,8.660456996062802e-07
tqwt_maxValue_dec_6,24.522551158676148,9.5561309358676e-07
tqwt_minValue_dec_6,23.72727630022706,1.4213304858106755e-06
tqwt_stdValue_dec_23,23.501086476537164,1.5915087077813522e-06
tqwt_TKEO_mean_dec_7,23.471786825569147,1.6150038041838083e-06
tqwt_entropy_log_dec_20,23.446263366266148,1.6357550936888668e-06
tqwt_TKEO_mean_dec_13,23.411000868820334,1.6648666491064295e-06
tqwt_energy_dec_27,23.183769997979496,1.8653837422497213e-06
tqwt_medianValue_dec_36,22.994275603620764,2.051076738953408e-06
IMF_SNR_entropy,22.841884448580583,2.213828188332489e-06
rapJitter,22.804196445414075,2.2560448331798844e-06
ddpJitter,22.792825258111698,2.268940809394234e-06
GQ_std_cycle_open,22.18409628165817,3.0794457753415676e-06
VFER_NSR_SEO,22.11121351475481,3.194274555011089e-06
app_LT_entropy_log_4_coef,21.98123113119001,3.4098708257982524e-06
tqwt_TKEO_std_dec_8,21.855050823699855,3.6331688461334145e-06
tqwt_TKEO_std_dec_7,21.85404301276415,3.635010361095429e-06
tqwt_kurtosisValue_dec_17,21.767541124196317,3.7966230082494735e-06
tqwt_kurtosisValue_dec_16,21.374065413488278,4.628081809307026e-06
std_MFCC_12th_coef,21.02398899076435,5.520971111591355e-06
std_2nd_delta,20.918384298095063,5.822979862332683e-06
std_MFCC_5th_coef,20.862635594408125,5.989063774762057e-06
tqwt_entropy_log_dec_19,20.839133469852968,6.0605018564864915e-06
det_LT_entropy_log_4_coef,20.80871067023796,6.154252146314934e-06
tqwt_TKEO_mean_dec_8,20.750644579540175,6.3372605394946134e-06
tqwt_kurtosisValue_dec_29,20.597245194619887,6.847537365807608e-06
app_det_TKEO_mean_1_coef,20.321003184245196,7.873115243859298e-06
std_delta_delta_0th,20.06696000836438,8.952430232098113e-06
det_LT_entropy_log_5_coef,19.526043968620705,1.1773678632970573e-05
mean_MFCC_0th_coef,19.411237612987346,1.2479403630016522e-05
tqwt_entropy_shannon_dec_6,19.379009188420685,1.2685069505830067e-05
tqwt_TKEO_mean_dec_23,19.346356981875605,1.2896922677496356e-05
tqwt_stdValue_dec_33,19.073431080464356,1.481310706444614e-05
tqwt_entropy_shannon_dec_19,18.96335032058837,1.566493502381221e-05
app_LT_TKEO_mean_1_coef,18.9250944739902,1.5972384822100505e-05
tqwt_TKEO_mean_dec_34,18.82532797392065,1.6803089922044225e-05
tqwt_energy_dec_8,18.68255166757983,1.8068248080894732e-05
tqwt_energy_dec_21,18.559687868764886,1.9233578352304647e-05
VFER_SNR_TKEO,18.422979069583562,2.0619509990054646e-05
tqwt_energy_dec_7,18.381165584528997,2.106318811806308e-05
std_2nd_delta_delta,17.922035544150365,2.661636717740108e-05
tqwt_kurtosisValue_dec_19,17.781085544015845,2.860124975199799e-05
tqwt_energy_dec_10,17.39345897867989,3.486439253061274e-05
tqwt_energy_dec_25,17.31927187035462,3.6212367011926063e-05
tqwt_entropy_log_dec_4,17.244077380594476,3.763229826593961e-05
std_MFCC_0th_coef,17.15640230537596,3.935897811023388e-05
tqwt_energy_dec_9,16.763670145787778,4.8129042019786e-05
app_LT_entropy_log_3_coef,16.620955168760297,5.1783518757869915e-05
tqwt_entropy_log_dec_36,16.51011430536924,5.4813950486770404e-05
tqwt_TKEO_mean_dec_35,16.482028288922674,5.5609844770248636e-05
det_LT_entropy_log_2_coef,16.30513084509539,6.0897813008928805e-05
app_LT_entropy_log_1_coef,16.264062103273822,6.219636477224927e-05
locDbShimmer,16.120000935236632,6.697639168157996e-05
tqwt_stdValue_dec_5,16.116388276724898,6.710091211269637e-05
std_0th_delta,15.953941932647556,7.294832962916421e-05
tqwt_maxValue_dec_1,15.908992706513114,7.465533975667201e-05
mean_MFCC_5th_coef,15.875372094544819,7.595843343500461e-05
tqwt_stdValue_dec_27,15.847075892400305,7.707293422542283e-05
det_LT_entropy_log_6_coef,15.773000789117221,8.006931512200169e-05
tqwt_stdValue_dec_18,15.649528191793513,8.532754583879978e-05
app_LT_entropy_log_2_coef,15.26083526545866,0.00010426885529119166
tqwt_maxValue_dec_5,15.2375865147011,0.00010552793979544594
tqwt_energy_dec_6,15.17963050128986,0.0001087339126128348
det_LT_entropy_log_1_coef,14.81068782078292,0.00013158148879882233
tqwt_minValue_dec_34,14.661107100466285,0.0001421742239321596
tqwt_minValue_dec_33,14.562032646867442,0.00014966055627744652
tqwt_entropy_shannon_dec_20,14.52638526773378,0.00015245053063364897
tqwt_entropy_log_dec_29,14.397836855933317,0.00016295517431504517
IMF_SNR_SEO,14.306181015685752,0.00017088897072059476
locShimmer,14.085967062824247,0.00019158420282083108
GQ_std_cycle_closed,13.986653370889766,0.00020172916208489265
tqwt_energy_dec_28,13.915058515731882,0.0002093778909832596
tqwt_minValue_dec_5,13.904354339591789,0.0002105463794549067
tqwt_energy_dec_35,13.838896208729928,0.0002178367072253097
mean_delta_log_energy,13.633151173269013,0.00024245575028971077
GNE_SNR_TKEO,13.588212124632085,0.00024819702630342707
mean_MFCC_9th_coef,13.36889940338075,0.00027825129908513803
GQ_prc5_95,13.28814354466981,0.0002902230445443941
tqwt_meanValue_dec_7,13.188729887798909,0.00030567878536144296
tqwt_maxValue_dec_34,13.11258369004227,0.0003180781241514598
tqwt_maxValue_dec_27,13.08049966444881,0.0003234537514461726
tqwt_maxValue_dec_17,12.918859102062527,0.00035196734697958196
tqwt_kurtosisValue_dec_23,12.715601777888422,0.00039146263469595717
tqwt_minValue_dec_27,12.678273132808208,0.00039918952301626066
tqwt_energy_dec_33,12.631599066098635,0.0004090684224549543
tqwt_minValue_dec_17,12.541523454235413,0.0004288387306471192
std_1st_delta,12.448273485017477,0.00045032569625655014
tqwt_energy_dec_34,12.285533454396212,0.0004904700735815405
tqwt_entropy_log_dec_3,12.225398757181189,0.0005062046359848931
tqwt_stdValue_dec_26,12.203760925803522,0.0005119905006408941
tqwt_maxValue_dec_33,12.104587677512175,0.0005393779729456246
tqwt_stdValue_dec_28,12.059932711073678,0.0005521897049498297
tqwt_TKEO_std_dec_34,11.653824184258362,0.000683828966007382
tqwt_TKEO_mean_dec_6,11.464365570599504,0.0007557143868451061
apq5Shimmer,11.365760830373606,0.0007961114890101787
meanAutoCorrHarmonicity,11.33207701755135,0.0008104073355569951
tqwt_minValue_dec_1,11.297016288690974,0.0008255641052790373
tqwt_entropy_shannon_dec_36,11.295239130368829,0.0008263399797247826
tqwt_meanValue_dec_5,11.232657156738009,0.0008541387204201176
